"idProposicao";"uriProposicao";"idDeputadoAutor";"uriAutor";"codTipoAutor";"tipoAutor";"nomeAutor";"siglaPartidoAutor";"uriPartidoAutor";"siglaUFAutor";"ordemAssinatura";"proponente"
"2092100";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2092100";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2010";"2";"COMISSÃO PERMANENTE";"Comissão de Finanças e Tributação";"";"";"";"1";"1"
"2092099";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2092099";"73896";"https://dadosabertos.camara.leg.br/api/v2/deputados/73896";"10000";"Deputado";"Fetter Junior";"";"";"";"1";"1"
"2092098";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2092098";"73896";"https://dadosabertos.camara.leg.br/api/v2/deputados/73896";"10000";"Deputado";"Fetter Junior";"";"";"";"1";"1"
"620597";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/620597";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/60";"30000";"Órgão do Poder Executivo";"Presidência da República";"";"";"";"1";"1"
"593911";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/593911";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"338766";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/338766";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2009";"2";"COMISSÃO PERMANENTE";"Comissão de Educação e Cultura";"";"";"";"1";"1"
"338763";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/338763";"73783";"https://dadosabertos.camara.leg.br/api/v2/deputados/73783";"10000";"Deputado";"Padre Roque";"";"";"";"1";"1"
"335961";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/335961";"73760";"https://dadosabertos.camara.leg.br/api/v2/deputados/73760";"10000";"Deputado";"Marisa Serrano";"";"";"";"1";"1"
"335960";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/335960";"74667";"https://dadosabertos.camara.leg.br/api/v2/deputados/74667";"10000";"Deputado";"João Fassarella";"";"";"";"1";"1"
"334314";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/334314";"73891";"https://dadosabertos.camara.leg.br/api/v2/deputados/73891";"10000";"Deputado";"Darcísio Perondi";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800";"RS";"1";"1"
"333990";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/333990";"73422";"https://dadosabertos.camara.leg.br/api/v2/deputados/73422";"10000";"Deputado";"Rubem Medina";"";"";"";"1";"1"
"333988";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/333988";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2008";"2";"COMISSÃO PERMANENTE";"Comissão de Desenvolvimento Econômico, Indústria e Comércio";"";"";"";"1";"1"
"333987";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/333987";"74429";"https://dadosabertos.camara.leg.br/api/v2/deputados/74429";"10000";"Deputado";"Nilson Gibson";"";"";"";"1";"1"
"333985";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/333985";"73897";"https://dadosabertos.camara.leg.br/api/v2/deputados/73897";"10000";"Deputado";"Germano Rigotto";"";"";"";"1";"1"
"333983";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/333983";"73422";"https://dadosabertos.camara.leg.br/api/v2/deputados/73422";"10000";"Deputado";"Rubem Medina";"";"";"";"1";"1"
