"idProposicao";"uriProposicao";"idDeputadoAutor";"uriAutor";"codTipoAutor";"tipoAutor";"nomeAutor";"siglaPartidoAutor";"uriPartidoAutor";"siglaUFAutor";"ordemAssinatura";"proponente"
"2122529";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2122529";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2008";"2";"COMISSÃO PERMANENTE";"Comissão de Desenvolvimento Econômico, Indústria, Comércio e Serviços";"";"";"";"1";"1"
"1307620";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1307620";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2014";"2";"COMISSÃO PERMANENTE";"Comissão de Seguridade Social e Família";"";"";"";"1";"1"
"1307617";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1307617";"74353";"https://dadosabertos.camara.leg.br/api/v2/deputados/74353";"10000";"Deputado";"Renildo Leal";"";"";"";"1";"1"
"955589";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/955589";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2003";"2";"COMISSÃO PERMANENTE";"Comissão de Constituição e Justiça e de Cidadania";"";"";"";"1";"1"
"955587";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/955587";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2014";"2";"COMISSÃO PERMANENTE";"Comissão de Seguridade Social e Família";"";"";"";"1";"1"
"620599";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/620599";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/60";"30000";"Órgão do Poder Executivo";"Presidência da República";"";"";"";"1";"1"
"599281";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/599281";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"486569";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/486569";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"484646";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/484646";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"472925";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/472925";"73459";"https://dadosabertos.camara.leg.br/api/v2/deputados/73459";"10000";"Deputado";"Dr. Rosinha";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"PR";"1";"1"
"463834";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/463834";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"463830";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/463830";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"345584";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/345584";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2003";"2";"COMISSÃO PERMANENTE";"Comissão de Constituição e Justiça e de Cidadania";"";"";"";"1";"1"
"345582";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/345582";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2003";"2";"COMISSÃO PERMANENTE";"Comissão de Constituição e Justiça e de Cidadania";"";"";"";"1";"1"
"345415";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/345415";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2003";"2";"COMISSÃO PERMANENTE";"Comissão de Constituição e Justiça e de Cidadania";"";"";"";"1";"1"
"345414";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/345414";"74469";"https://dadosabertos.camara.leg.br/api/v2/deputados/74469";"10000";"Deputado";"Inaldo Leitão";"";"";"";"1";"1"
