"idProposicao";"uriProposicao";"idDeputadoAutor";"uriAutor";"codTipoAutor";"tipoAutor";"nomeAutor";"siglaPartidoAutor";"uriPartidoAutor";"siglaUFAutor";"ordemAssinatura";"proponente"
"13378";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13378";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/253";"30000";"Órgão do Poder Executivo";"Poder Executivo";"";"";"";"1";"1"
"13375";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13375";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/253";"30000";"Órgão do Poder Executivo";"Poder Executivo";"";"";"";"1";"1"
"13371";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13371";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/253";"30000";"Órgão do Poder Executivo";"Poder Executivo";"";"";"";"1";"1"
"13354";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13354";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/253";"30000";"Órgão do Poder Executivo";"Poder Executivo";"";"";"";"1";"1"
"13353";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13353";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/253";"30000";"Órgão do Poder Executivo";"Poder Executivo";"";"";"";"1";"1"
"13343";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13343";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/253";"30000";"Órgão do Poder Executivo";"Poder Executivo";"";"";"";"1";"1"
"13306";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13306";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/253";"30000";"Órgão do Poder Executivo";"Poder Executivo";"";"";"";"1";"1"
"13298";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13298";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/253";"30000";"Órgão do Poder Executivo";"Poder Executivo";"";"";"";"1";"1"
"13261";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13261";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/253";"30000";"Órgão do Poder Executivo";"Poder Executivo";"";"";"";"1";"1"
"13244";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13244";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/253";"30000";"Órgão do Poder Executivo";"Poder Executivo";"";"";"";"1";"1"
"13229";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13229";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/253";"30000";"Órgão do Poder Executivo";"Poder Executivo";"";"";"";"1";"1"
"13228";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13228";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/253";"30000";"Órgão do Poder Executivo";"Poder Executivo";"";"";"";"1";"1"
"13226";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13226";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/253";"30000";"Órgão do Poder Executivo";"Poder Executivo";"";"";"";"1";"1"
"13209";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13209";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/253";"30000";"Órgão do Poder Executivo";"Poder Executivo";"";"";"";"1";"1"
"13186";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13186";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/253";"30000";"Órgão do Poder Executivo";"Poder Executivo";"";"";"";"1";"1"
"13179";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13179";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/253";"30000";"Órgão do Poder Executivo";"Poder Executivo";"";"";"";"1";"1"
"13178";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13178";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/253";"30000";"Órgão do Poder Executivo";"Poder Executivo";"";"";"";"1";"1"
"13177";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13177";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/253";"30000";"Órgão do Poder Executivo";"Poder Executivo";"";"";"";"1";"1"
"13171";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13171";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/253";"30000";"Órgão do Poder Executivo";"Poder Executivo";"";"";"";"1";"1"
"13152";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13152";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/253";"30000";"Órgão do Poder Executivo";"Poder Executivo";"";"";"";"1";"1"
"13147";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13147";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/253";"30000";"Órgão do Poder Executivo";"Poder Executivo";"";"";"";"1";"1"
"13145";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13145";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/253";"30000";"Órgão do Poder Executivo";"Poder Executivo";"";"";"";"1";"1"
"13065";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13065";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/253";"30000";"Órgão do Poder Executivo";"Poder Executivo";"";"";"";"1";"1"
"13044";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13044";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/253";"30000";"Órgão do Poder Executivo";"Poder Executivo";"";"";"";"1";"1"
"13039";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13039";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/253";"30000";"Órgão do Poder Executivo";"Poder Executivo";"";"";"";"1";"1"
"13030";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13030";"73888";"https://dadosabertos.camara.leg.br/api/v2/deputados/73888";"10000";"Deputado";"Airton Dipp";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"RS";"1";"1"
"12981";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/12981";"73448";"https://dadosabertos.camara.leg.br/api/v2/deputados/73448";"10000";"Deputado";"Eduardo Jorge";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"SP";"1";"1"
"12735";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/12735";"73772";"https://dadosabertos.camara.leg.br/api/v2/deputados/73772";"10000";"Deputado";"Hermes Parcianello";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800";"PR";"1";"1"
"12734";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/12734";"74810";"https://dadosabertos.camara.leg.br/api/v2/deputados/74810";"10000";"Deputado";"Luiz Bittencourt";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800";"GO";"1";"1"
"12733";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/12733";"74449";"https://dadosabertos.camara.leg.br/api/v2/deputados/74449";"10000";"Deputado";"Pedro Fernandes";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"MA";"1";"1"
"12732";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/12732";"74177";"https://dadosabertos.camara.leg.br/api/v2/deputados/74177";"10000";"Deputado";"Marinha Raupp";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"RO";"1";"1"
"12731";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/12731";"74592";"https://dadosabertos.camara.leg.br/api/v2/deputados/74592";"10000";"Deputado";"Ronaldo Vasconcellos";"PFL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36790";"MG";"1";"1"
"12730";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/12730";"74357";"https://dadosabertos.camara.leg.br/api/v2/deputados/74357";"10000";"Deputado";"Vanessa Grazziotin";"PCDOB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36779";"AM";"1";"1"
"12729";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/12729";"73471";"https://dadosabertos.camara.leg.br/api/v2/deputados/73471";"10000";"Deputado";"Fernando Coruja";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"SC";"1";"1"
"12728";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/12728";"73471";"https://dadosabertos.camara.leg.br/api/v2/deputados/73471";"10000";"Deputado";"Fernando Coruja";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"SC";"1";"1"
"12725";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/12725";"73471";"https://dadosabertos.camara.leg.br/api/v2/deputados/73471";"10000";"Deputado";"Fernando Coruja";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"SC";"1";"1"
