session_code,line,party
4772,No,PSB
4772,Obstruction,DEM
4772,No,PDT
4772,No,PTB
4772,No,PSC
4772,No,PCdoB
4772,No,PSOL
4772,No,PR
4772,No,Avante
4772,No,PRP
4772,No,PHS
4772,No,PTC
4772,No,PSL
4772,No,PRTB
4772,Free,PV
4772,Free,PPS
743,No,PT
743,Yes,PFL
743,No,MDB
743,Yes,PSDB
743,No,PPB
743,No,PTB
743,No,PL
743,No,PSB
743,No,PPS
743,No,PDT
743,No,PCdoB
743,No,PRONA
743,No,PV
743,No,GOV.
542,Yes,MDB
542,No,PT
542,Yes,PPB
542,Yes,GOV.
542,Yes,PSDB
542,Yes,PTB
542,Yes,PFL
542,Yes,PST
542,No,PDT
542,No,PPS
542,No,PSB
542,No,PCdoB
542,No,PL
542,No,PSL
3617,Yes,PT
3617,No,PSDB
3617,Yes,DEM
3617,Yes,PR
3617,Yes,PP
3617,Yes,PTB
3617,Yes,PV
3617,Yes,PPS
3617,Yes,PSC
3617,Yes,PSOL
3617,Yes,GOV.
3617,Yes,MDB
3617,Yes,PTC
3617,Yes,PSB
3617,Yes,PDT
3617,Yes,PCdoB
3617,Yes,PMN
3617,Yes,PRB
3617_2,Yes,PT
3617_2,No,PSDB
3617_2,No,DEM
3617_2,Yes,PR
3617_2,Yes,PP
3617_2,Yes,PTB
3617_2,Yes,PV
3617_2,Free,PPS
3617_2,Yes,PSC
3617_2,Yes,PSOL
3617_2,Yes,PHS
3617_2,Yes,GOV.
3617_2,Yes,MDB
3617_2,Yes,PTC
3617_2,Yes,PSB
3617_2,Yes,PDT
3617_2,Yes,PCdoB
3617_2,Yes,PMN
3617_2,Yes,PRB
5162,Yes,PT
5162,Yes,MDB
5162,Yes,PSDB
5162,Yes,PSD
5162,Yes,DEM
5162,Yes,PSB
5162,Yes,Solidaried
5162,Yes,PDT
5162,Yes,PTB
5162,Yes,PCdoB
5162,Yes,PSC
5162,Yes,PRB
5162,Yes,PV
5162,Yes,PPS
5162,Yes,PSOL
5162,Yes,PP
5162,Yes,PROS
5162,Yes,PR
5162,Yes,Avante
5162,Yes,PRP
5049,No,PT
5049,No,MDB
5049,No,PSDB
5049,No,PSD
5049,No,PP
5049,Yes,DEM
5049,Obstruction,PDT
5049,Obstruction,PSB
5049,No,PTB
5049,No,PSC
5049,No,PCdoB
5049,No,PPS
5049,No,PV
5049,No,PRB
5049,No,PSOL
5049,Obstruction,PMN
5049,No,Patriota
5049,No,GOV.
5049,Obstruction,PR
5049,Obstruction,Avante
5049,Obstruction,PRP
5049,Obstruction,PHS
5049,Obstruction,PSL
5049,Obstruction,PRTB
5049_2,Yes,PT
5049_2,Free,MDB
5049_2,No,PSDB
5049_2,Yes,PSD
5049_2,Yes,PP
5049_2,No,DEM
5049_2,Obstruction,PDT
5049_2,Yes,PSB
5049_2,Yes,PTB
5049_2,No,PSC
5049_2,Yes,PCdoB
5049_2,No,PPS
5049_2,Free,PV
5049_2,Yes,PRB
5049_2,No,PSOL
5049_2,Yes,PMN
5049_2,Yes,Patriota
5049_2,Yes,GOV.
5049_2,Yes,PR
5049_2,Yes,Avante
5049_2,Yes,PRP
5049_2,Yes,PHS
5049_2,Yes,PSL
5049_2,Yes,PRTB
5049_3,No,PT
5049_3,Yes,MDB
5049_3,Yes,PSDB
5049_3,Yes,PSD
5049_3,Free,PP
5049_3,Yes,DEM
5049_3,Obstruction,PDT
5049_3,Obstruction,PSB
5049_3,No,PTB
5049_3,Yes,PSC
5049_3,No,PCdoB
5049_3,Yes,PPS
5049_3,Yes,PV
5049_3,No,PRB
5049_3,No,PSOL
5049_3,Free,PMN
5049_3,No,Patriota
5049_3,No,GOV.
5049_3,Yes,PR
5049_3,Yes,Avante
5049_3,Yes,PRP
5049_3,Yes,PHS
5049_3,Yes,PSL
5049_3,Yes,PRTB
4920,Yes,PT
4920,Yes,MDB
4920,No,PSDB
4920,No,PSD
4920,Yes,PP
4920,No,DEM
4920,Yes,PSB
4920,No,PDT
4920,Yes,PTB
4920,No,PSC
4920,Yes,PCdoB
4920,No,PPS
4920,Yes,PV
4920,Yes,PRB
4920,No,PSOL
4920,Yes,PMN
4920,Yes,Patriota
4920,Yes,GOV.
4920,Yes,PR
4920,Yes,Avante
4920,Yes,PRP
4920,Yes,PHS
4920,Yes,PTC
4920,Yes,PSL
4920,Yes,PRTB
5662,Yes,PT
5662,Yes,PSDB
5662,Yes,PR
5662,Yes,PSD
5662,Yes,PSB
5662,Yes,DEM
5662,Yes,PDT
5662,Yes,Solidaried
5662,Yes,PCdoB
5662,Yes,PROS
5662,Yes,PPS
5662,Yes,PV
5662,Yes,PSOL
5662,Yes,GOV.
5662,Yes,MDB
5662,Yes,PP
5662,Yes,PTB
5662,Yes,PSC
5662,Yes,PHS
5662,Yes,Patriota
5662,Yes,PRB
5662,Yes,Podemos
5662,Yes,PMN
5662,Yes,PRP
5662,Yes,DC
5662,Yes,PRTB
5662,Yes,PTC
5662,Yes,PSL
5662,Yes,Avante
5657,Yes,PT
5657,Yes,PSDB
5657,Yes,PR
5657,Yes,PSD
5657,Yes,PSB
5657,Yes,DEM
5657,No,PDT
5657,Yes,Solidaried
5657,No,PCdoB
5657,Free,PROS
5657,Free,PPS
5657,Yes,PV
5657,No,PSOL
5657,Yes,GOV.
5657,Yes,MDB
5657,Yes,PP
5657,Yes,PTB
5657,Yes,PSC
5657,Yes,PHS
5657,Yes,Patriota
5657,Yes,PRB
5657,Yes,Podemos
5657,Yes,PMN
5657,Yes,PRP
5657,Yes,DC
5657,Yes,PRTB
5657,Yes,PTC
5657,Yes,PSL
5657,Yes,Avante
5662_2,No,PT
5662_2,No,PSDB
5662_2,No,PR
5662_2,No,PSD
5662_2,No,PSB
5662_2,No,DEM
5662_2,No,PDT
5662_2,No,Solidaried
5662_2,No,PCdoB
5662_2,No,PROS
5662_2,No,PPS
5662_2,No,PV
5662_2,Free,GOV.
5662_2,No,MDB
5662_2,No,PP
5662_2,No,PTB
5662_2,No,PSC
5662_2,No,PHS
5662_2,No,Patriota
5662_2,No,PRB
5662_2,No,Podemos
5662_2,No,PMN
5662_2,No,PRP
5662_2,No,DC
5662_2,No,PRTB
5662_2,No,PTC
5662_2,No,PSL
5662_2,No,Avante
5662_3,No,PT
5662_3,No,PSDB
5662_3,Yes,PR
5662_3,Yes,PSD
5662_3,Yes,PSB
5662_3,Yes,DEM
5662_3,Yes,PDT
5662_3,Yes,Solidaried
5662_3,No,PCdoB
5662_3,Yes,PROS
5662_3,Yes,PPS
5662_3,Yes,PV
5662_3,No,PSOL
5662_3,Free,GOV.
5662_3,Yes,MDB
5662_3,Yes,PP
5662_3,Yes,PTB
5662_3,Yes,PSC
5662_3,Yes,PHS
5662_3,Yes,Patriota
5662_3,Yes,PRB
5662_3,Yes,Podemos
5662_3,Yes,PMN
5662_3,Yes,PRP
5662_3,Yes,DC
5662_3,Yes,PRTB
5662_3,Yes,PTC
5662_3,Yes,PSL
5662_3,Yes,Avante
5662_4,Free,PT
5662_4,Yes,PSDB
5662_4,Yes,PR
5662_4,Free,PSD
5662_4,Yes,PSB
5662_4,Yes,DEM
5662_4,Yes,PDT
5662_4,Free,Solidaried
5662_4,Yes,PCdoB
5662_4,Yes,PROS
5662_4,Yes,PPS
5662_4,Yes,PV
5662_4,Yes,PSOL
5662_4,Free,GOV.
5662_4,Free,MDB
5662_4,Free,PP
5662_4,Free,PTB
5662_4,Free,PSC
5662_4,Free,PHS
5662_4,Free,Patriota
5662_4,Free,PRB
5662_4,Free,Podemos
5662_4,Free,PMN
5662_4,Free,PRP
5662_4,Free,DC
5662_4,Free,PRTB
5662_4,Free,PTC
5662_4,Free,PSL
5662_4,Free,Avante
762,No,PT
762,Yes,PFL
762,Yes,MDB
762,Yes,PSDB
762,Free,PPB
762,No,PTB
762,No,PL
762,No,PSB
762,No,PPS
762,No,PDT
762,No,PCdoB
762,No,PRONA
762,No,PV
762,No,GOV.
715,No,PFL
715,Yes,PSDB
715,Yes,MDB
715,Yes,PT
715,Yes,PPB
715,Yes,PTB
715,Yes,GOV.
715,Yes,PDT
715,Yes,PPS
715,Yes,PL
715,Yes,PSL
715,Free,PSB
715,Free,PCdoB
16236,Yes,MDB
16236,Yes,PT
16236,Yes,PSDB
16236,Yes,PR
16236,Yes,PSD
16236,Yes,PSB
16236,Yes,DEM
16236,Yes,PRB
16236,Yes,PDT
16236,Yes,Solidaried
16236,Yes,PCdoB
16236,Yes,PSC
16236,Yes,PPS
16236,Yes,PHS
16236,Yes,PSOL
16236,Yes,PV
16236,Yes,REDE
16236,Yes,Patriota
16236,Yes,PMB
16236,Yes,GOV.
16236,Yes,PP
16236,Yes,Podemos
16236,Yes,Avante
16236,Yes,PTB
16236,Yes,PROS
16236,Yes,PSL
16411,Yes,MDB
16411,Yes,PT
16411,Yes,PSDB
16411,Yes,PSD
16411,Yes,PR
16411,Yes,PSB
16411,Yes,DEM
16411,Yes,PRB
16411,Yes,PDT
16411,Yes,Podemos
16411,Yes,Solidaried
16411,Yes,PCdoB
16411,Yes,PSC
16411,Free,PPS
16411,Yes,PHS
16411,Yes,PV
16411,Yes,PSOL
16411,Yes,REDE
16411,Yes,Patriota
16411,Yes,GOV.
16411,Yes,PP
16411,Yes,Avante
16411,Yes,PTB
16411,Yes,PROS
16411,Yes,PSL
16411,Yes,PRP
16411_2,Yes,MDB
16411_2,Yes,PT
16411_2,Yes,PSDB
16411_2,Yes,PSD
16411_2,Yes,PR
16411_2,Yes,PSB
16411_2,Yes,DEM
16411_2,Yes,PRB
16411_2,Yes,PDT
16411_2,Yes,Podemos
16411_2,Yes,Solidaried
16411_2,No,PCdoB
16411_2,Yes,PSC
16411_2,Free,PPS
16411_2,Yes,PHS
16411_2,Yes,PV
16411_2,Yes,PSOL
16411_2,Yes,REDE
16411_2,Yes,Patriota
16411_2,Yes,GOV.
16411_2,Yes,PP
16411_2,Yes,Avante
16411_2,Yes,PTB
16411_2,Yes,PROS
16411_2,Yes,PSL
16411_2,Yes,PRP
16411_3,No,MDB
16411_3,No,PT
16411_3,No,PSDB
16411_3,No,PSD
16411_3,No,PR
16411_3,No,PSB
16411_3,No,DEM
16411_3,No,PRB
16411_3,No,PDT
16411_3,No,Podemos
16411_3,No,Solidaried
16411_3,No,PCdoB
16411_3,No,PSC
16411_3,No,PPS
16411_3,No,PHS
16411_3,No,PV
16411_3,No,PSOL
16411_3,No,REDE
16411_3,No,PP
16411_3,No,Avante
16411_3,No,PTB
16411_3,No,PROS
16411_3,No,PSL
16411_3,No,PRP
16411_4,No,MDB
16411_4,No,PT
16411_4,No,PSDB
16411_4,Yes,PSD
16411_4,No,PR
16411_4,No,PSB
16411_4,Free,DEM
16411_4,Free,PRB
16411_4,No,PDT
16411_4,No,Podemos
16411_4,No,Solidaried
16411_4,No,PCdoB
16411_4,No,PSC
16411_4,No,PPS
16411_4,Free,PHS
16411_4,No,PV
16411_4,No,PSOL
16411_4,No,REDE
16411_4,No,Patriota
16411_4,No,PP
16411_4,No,Avante
16411_4,Free,PTB
16411_4,Free,PROS
16411_4,Free,PSL
16411_4,Free,PRP
16411_5,Yes,MDB
16411_5,Yes,PT
16411_5,Yes,PSDB
16411_5,Yes,PSD
16411_5,Yes,PR
16411_5,Yes,PSB
16411_5,Yes,DEM
16411_5,Yes,PRB
16411_5,Yes,PDT
16411_5,Yes,Podemos
16411_5,Yes,Solidaried
16411_5,Yes,PCdoB
16411_5,Yes,PHS
16411_5,Yes,PV
16411_5,No,PSOL
16411_5,Yes,REDE
16411_5,Yes,PP
16411_5,Yes,Avante
16411_5,Yes,PTB
16411_5,Yes,PROS
16411_5,Yes,PSL
16411_5,Yes,PRP
5438,Obstruction,PT
5438,Obstruction,PSD
5438,Obstruction,PR
5438,Obstruction,PDT
5438,Obstruction,PCdoB
5438,Obstruction,PROS
5438,No,PSOL
5438,Obstruction,MDB
5438,Obstruction,PP
5438,Obstruction,PTB
5438,Obstruction,DEM
5438,Obstruction,PSDB
5438,Obstruction,PSB
5438,Obstruction,PPS
5438,Obstruction,PV
398,Yes,PFL
398,Yes,PSDB
398,Yes,MDB
398,No,PT
398,No,PPB
398,No,PTB
398,No,PDT
398,No,PPS
398,No,Podemos
398,Abstention,GOV.
398,No,PSB
398,No,PCdoB
